,Year,Month,First Day of Weekend,Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date
344,2016,02,19,84,Power In Our Hands,UK,611,Independent Cinema Office,3.66412213740458,3,1,611,2907
345,2016,02,19,87,Noble,UK/Viet,370,Miracle Communications,-0.6910229645092243,2,1,370,3045.99999998679
346,2016,02,19,88,Sunset Song,UK/Lux,316,Metrodome,-0.7465918203688852,12,2,158,477784
347,2016,02,19,91,In The Heart Of The Sea,UK/USA,273,Warner Bros,-0.7726894254787677,9,3,91,2631045
348,2016,02,19,104,45 Years,UK,47,Curzon/Artificial Eye,-0.9681139755766621,26,1,47,1824613
349,2016,02,19,16,The Mermaid,CHN/HKG,120486,Sony Pictures,-,1,19,6341.368421052632,120486
350,2016,02,19,17,Neerja,Ind,106449,20th Century Fox,-,1,36,2956.9166666666665,106449
351,2016,02,19,25,Jungle Shuffle,S Kor/Mex,40506,Signature Entertainment,-,1,80,506.325,40506
352,2016,02,19,33,Bone Tomahawk,USA,29465,The Works UK Distribution,-,1,52,566.6346153846154,29465
353,2016,02,19,39,Channo Kamli Yaar Di,Ind,21672,Filmonix,-,1,9,2408,21672
354,2016,02,19,41,Paavada,Ind,17345,RFT Films,-,1,47,369.04255319148933,17345
355,2016,02,19,43,Miruthan,Ind,14837,Ayngaran,-,1,24,618.2083333333334,14837
356,2016,02,19,45,Freeheld,USA,12666,eOne Films,-,1,12,1055.5,12666
357,2016,02,19,46,Sethupathi,Ind,8759,Filmonix,-,1,8,1094.875,8759
358,2016,02,19,47,Mavis!,USA,8310,Dogwoof,-,1,10,831,8310
359,2016,02,19,48,Osman Pazarlama,Tur,7775,Kinostar,-,1,3,2591.6666666666665,7775
360,2016,02,19,49,Chronic,Fra/mex,6972,Curzon/Artificial Eye,-,1,12,581,6972
361,2016,02,26,1,Deadpool,USA/Can,2987877,20th Century Fox,-0.4760339680048401,3,568,5260.346830985915,31154454
362,2016,02,26,2,Grimsby,UK,1928789,Sony Pictures,-,1,522,3694.9980842911878,1928789
363,2016,02,26,3,Alvin and the Chipmunks: The Road Chip,USA,1221818,20th Century Fox,-0.6567903828565137,3,567,2154.8818342151676,14666345
364,2016,02,26,4,How To Be Single,USA,954311,Warner Bros,-0.49185989488016013,2,445,2144.5191011235956,3666958
